DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,NT_ANT_WHZ_NE3: Weight-for-height <-3 SD (severe wasting),F: Female,2004,4.3,0: Units,PCNT: %,ER: External Reanalysis,F: Free,,,436.0,Reduced age range Age 0-5 months not covered  unadjusted,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,Summary report of the national nutrition survey  2004. Kabul  Islamic Republic of Afghanistan  Ministry of Public Health and UNICEF  2005.,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2004-2018,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,NT_ANT_WHZ_NE3: Weight-for-height <-3 SD (severe wasting),F: Female,2013,3.5,0: Units,PCNT: %,RA: Reanalysed,F: Free,2.9,4.2,2080089.9,Oedema data was not considered in the analysis  Height/length modality (standing/lying) was not collected,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,Afghanistan National Nutrition Survey 2013,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2004-2018,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,NT_ANT_WHZ_NE3: Weight-for-height <-3 SD (severe wasting),F: Female,2018,1.4,0: Units,PCNT: %,RA: Reanalysed,F: Free,1.1,1.8,9593.1,Oedema data was not considered in the analysis  Height/length modality (standing/lying) was not collected,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,Afghanistan Health Survey 2018,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2004-2018,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,NT_ANT_WHZ_NE3: Weight-for-height <-3 SD (severe wasting),M: Male,2004,2.9,0: Units,PCNT: %,ER: External Reanalysis,F: Free,,,510.0,Reduced age range Age 0-5 months not covered  unadjusted,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,Summary report of the national nutrition survey  2004. Kabul  Islamic Republic of Afghanistan  Ministry of Public Health and UNICEF  2005.,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2004-2018,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,NT_ANT_WHZ_NE3: Weight-for-height <-3 SD (severe wasting),M: Male,2013,4.5,0: Units,PCNT: %,RA: Reanalysed,F: Free,3.9,5.2,2167205.3,Oedema data was not considered in the analysis  Height/length modality (standing/lying) was not collected,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,Afghanistan National Nutrition Survey 2013,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2004-2018,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,NT_ANT_WHZ_NE3: Weight-for-height <-3 SD (severe wasting),M: Male,2018,1.7,0: Units,PCNT: %,RA: Reanalysed,F: Free,1.4,2.1,10099.3,Oedema data was not considered in the analysis  Height/length modality (standing/lying) was not collected,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,Afghanistan Health Survey 2018,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2004-2018,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,NT_ANT_WHZ_NE3: Weight-for-height <-3 SD (severe wasting),_T: Total,2004,3.5,0: Units,PCNT: %,ER: External Reanalysis,F: Free,,,946.0,Reduced age range Age 0-5 months not covered  unadjusted,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,Summary report of the national nutrition survey  2004. Kabul  Islamic Republic of Afghanistan  Ministry of Public Health and UNICEF  2005.,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2004-2018,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,NT_ANT_WHZ_NE3: Weight-for-height <-3 SD (severe wasting),_T: Total,2013,4.0,0: Units,PCNT: %,RA: Reanalysed,F: Free,3.5,4.6,4247295.0,Oedema data was not considered in the analysis  Height/length modality (standing/lying) was not collected,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,Afghanistan National Nutrition Survey 2013,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2004-2018,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,NT_ANT_WHZ_NE3: Weight-for-height <-3 SD (severe wasting),_T: Total,2018,1.6,0: Units,PCNT: %,RA: Reanalysed,F: Free,1.3,1.8,19692.4,Oedema data was not considered in the analysis  Height/length modality (standing/lying) was not collected,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,Afghanistan Health Survey 2018,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2004-2018,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNDEV_002: Africa,NT_ANT_WHZ_NE3: Weight-for-height <-3 SD (severe wasting),_T: Total,2019,1.7691155672073364,0: Units,PCNT: %,,,1.3951611518859863,2.1430699825286865,,,UNICEF/WHO/World Bank Joint Child Malnutrition Estimates Expanded Database March 2019 New York,,"https,//data.unicef.org/topic/nutrition/malnutrition",UNICEF-WHO-World Bank,MOF: Middle of fieldwork,,,Y0T4: Under 5 years old
