Location,Time,PopTotal
Afghanistan,2020,38928.341
Afghanistan,2021,39943.186
Africa,2020,1340598.113
Africa,2021,1374661.367
Albania,2020,2877.8
Albania,2021,2871.801
Algeria,2020,43851.043
Algeria,2021,44669.558
American Samoa,2020,55.197
American Samoa,2021,55.137
Andorra,2020,77.265
Andorra,2021,77.406
Angola,2020,32866.268
Angola,2021,33959.126
Anguilla,2020,15.002
Anguilla,2021,15.117
Antigua and Barbuda,2020,97.928
Antigua and Barbuda,2021,98.742
Argentina,2020,45195.777
Argentina,2021,45608.318
Armenia,2020,2963.234
Armenia,2021,2967.65
Aruba,2020,106.766
Aruba,2021,107.157
Asia,2020,4641054.786
Asia,2021,4680278.828
Australia,2020,25499.881
Australia,2021,25781.041
Australia/New Zealand,2020,30322.114
Australia/New Zealand,2021,30640.989
Austria,2020,9006.4
Austria,2021,9023.695
Azerbaijan,2020,10139.175
Azerbaijan,2021,10226.104
Bahamas,2020,393.248
Bahamas,2021,396.916
Bahrain,2020,1701.583
Bahrain,2021,1734.708
Bangladesh,2020,164689.383
Bangladesh,2021,166360.023
Barbados,2020,287.371
Barbados,2021,287.605
Belarus,2020,9449.321
Belarus,2021,9437.087
Belgium,2020,11589.616
Belgium,2021,11619.637
Belize,2020,397.621
Belize,2021,405.175
Benin,2020,12123.198
Benin,2021,12461.566
Bermuda,2020,62.273
Bermuda,2021,62.127
Bhutan,2020,771.612
Bhutan,2021,780.161
Bolivia (Plurinational State of),2020,11673.029
Bolivia (Plurinational State of),2021,11839.421
"Bonaire, Sint Eustatius and Saba",2020,26.221
"Bonaire, Sint Eustatius and Saba",2021,26.433
Bosnia and Herzegovina,2020,3280.815
Bosnia and Herzegovina,2021,3267.902
Botswana,2020,2351.625
Botswana,2021,2398.056
Brazil,2020,212559.409
Brazil,2021,214002.634
British Virgin Islands,2020,30.237
British Virgin Islands,2021,30.398
Brunei Darussalam,2020,437.483
Brunei Darussalam,2021,441.653
Bulgaria,2020,6948.445
Bulgaria,2021,6892.593
Burkina Faso,2020,20903.278
Burkina Faso,2021,21516.792
Burundi,2020,11890.781
Burundi,2021,12269.675
Cabo Verde,2020,555.988
Cabo Verde,2021,562.11
Cambodia,2020,16718.971
Cambodia,2021,16956.037
Cameroon,2020,26545.864
Cameroon,2021,27245.499
Canada,2020,37742.157
Canada,2021,38059.295
Caribbean,2020,43532.374
Caribbean,2021,43820.204
Cayman Islands,2020,65.72
Cayman Islands,2021,66.483
Central African Republic,2020,4829.764
Central African Republic,2021,4924.026
Central America,2020,179670.186
Central America,2021,181811.336
Central Asia,2020,74338.926
Central Asia,2021,75491.508
Central and Southern Asia,2020,2014708.531
Central and Southern Asia,2021,2038527.512
Chad,2020,16425.859
Chad,2021,16938.377
Channel Islands,2020,173.859
Channel Islands,2021,174.961
Chile,2020,19116.209
Chile,2021,19132.659
China,2020,1439323.774
China,2021,1443627.576
"China, Hong Kong SAR",2020,7496.988
"China, Hong Kong SAR",2021,7535.453
"China, Macao SAR",2020,649.342
"China, Macao SAR",2021,658.31
"China, Taiwan Province of China",2020,23816.775
"China, Taiwan Province of China",2021,23834.423
Colombia,2020,50882.884
Colombia,2021,51065.535
Comoros,2020,869.595
Comoros,2021,889.422
Congo,2020,5518.092
Congo,2021,5660.275
Cook Islands,2020,17.564
Cook Islands,2021,17.569
Costa Rica,2020,5094.114
Costa Rica,2021,5140.032
Croatia,2020,4105.268
Croatia,2021,4082.059
Cuba,2020,11326.616
Cuba,2021,11316.614
Curaçao,2020,164.1
Curaçao,2021,164.83
Cyprus,2020,1207.361
Cyprus,2021,1215.486
Czechia,2020,10708.982
Czechia,2021,10718.43
Côte d'Ivoire,2020,26378.275
Côte d'Ivoire,2021,27071.074
Dem. People's Republic of Korea,2020,25778.815
